"pais","exp_vid","mortalidad","pobrate"
"Saint Kitts and Nevis",76.6,7.3,0.67
"Saint Lucia",78.5,8.1,0.29
"Saint Martin",80.2,4.6,0.4
"Saint Pierre and Miquelon",81,10.9,-1.15
"Saint Vincent and the Grenadines",76.2,7.6,-0.22
"Samoa",74.7,5.4,0.61
"San Marino",83.5,9,0.65
"Sao Tome and Principe",66.3,6.3,1.58
"Saudi Arabia",76.2,3.4,1.6
"Senegal",63.2,7.6,2.31
"Serbia",76.3,13.5,-0.47
"Seychelles",75.6,7.1,0.69
"Sierra Leone",59.8,9.8,2.43
"Singapore",86,3.6,1.73
"Sint Maarten",78.8,5.8,1.34
"Slovakia",77.8,10.1,-0.05
"Slovenia",81.4,10.3,0.01
"Solomon Islands",76.2,3.8,1.84
"Somalia",54,12.4,2.21
"South Africa",64.8,9.3,0.97
"South Sudan",55.5,11.4,2.7
"Spain",82,9.3,0.67
"Sri Lanka",77.5,6.5,0.67
"Sudan",66.5,6.5,2.69
"Suriname",73.3,6.2,0.95
"Sweden",82.4,9.4,0.79
"Switzerland",82.8,8.5,0.66
"Syria",73.7,4.5,4.25
"Taiwan",80.6,7.9,0.11
"Tajikistan",69,5.8,1.52
"Tanzania",63.9,7.1,2.71
"Thailand",75.6,8.3,0.25
"Timor-Leste",69.3,5.7,2.27
"Togo",66.6,6.5,2.56
"Tonga",77,4.9,-0.16
"Trinidad and Tobago",73.9,9.1,-0.3
"Tunisia",76.3,6.4,0.85
"Turkey",75.7,6.1,0.45
"Turkmenistan",71.3,6.1,1.06
"Turks and Caicos Islands",80.3,3.4,2
"Tuvalu",67.9,8.2,0.87
"Uganda",68.2,5.3,3.34
"Ukraine",72.9,14,-0.1
"United Arab Emirates",79,2,1.49
"United Kingdom",81.1,9.5,0.49
"United States",80.3,8.3,0.72
"Uruguay",77.9,9.3,0.27
"Uzbekistan",74.8,5.4,0.88
"Vanuatu",74.6,4,1.73
"Venezuela",71,7.5,-0.18
"Vietnam",74.4,6,0.84
"Virgin Islands",79.8,8.5,-0.37
"Wallis and Futuna",80.2,5.7,0.28
"West Bank",75.9,3.4,1.77
"Western Sahara",64.5,7.7,2.54
"Yemen",66.9,5.6,2.04
"Zambia",53.6,11.6,2.89
"Zimbabwe",62.3,9.3,1.87
